"Unidade da Federação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"104,77";"98,27";"93,97";"103,75";"110,25";"122,13";"120,88";"105,98";"111,99";"101,20";"107,32";"105,68";"100,07";"108,09";"105,44";"105,44";"108,18";"101,89";"98,26";"81,95";"104,41"
"12 Acre";"113,91";"122,35";"131,65";"111,35";"94,05";"94,66";"116,33";"94,64";"110,91";"104,03";"111,03";"96,07";"92,78";"75,44";"82,74";"71,27";"74,01";"78,34";"81,73";"62,78";"95,75"
"13 Amazonas";"90,00";"91,89";"85,63";"91,44";"90,97";"89,85";"93,06";"87,06";"93,57";"92,48";"87,15";"91,93";"96,83";"98,86";"104,80";"76,24";"76,43";"79,25";"83,29";"67,06";"88,29"
"14 Roraima";"85,58";"93,31";"86,46";"91,02";"100,22";"90,94";"95,00";"89,57";"103,67";"96,71";"95,52";"88,78";"86,48";"89,54";"112,28";"88,45";"90,52";"79,79";"79,76";"72,84";"90,52"
"15 Pará";"107,74";"118,45";"118,52";"124,94";"123,42";"116,22";"111,15";"109,56";"106,11";"103,38";"101,54";"97,78";"96,98";"84,36";"72,09";"63,15";"67,63";"69,09";"72,72";"59,13";"96,84"
"16 Amapá";"155,06";"94,27";"98,44";"104,02";"99,70";"94,36";"98,82";"97,10";"126,11";"90,75";"84,58";"92,67";"93,31";"80,66";"92,38";"47,59";"63,18";"68,74";"73,01";"41,81";"89,15"
"17 Tocantins";"118,44";"106,54";"102,04";"106,65";"106,26";"108,91";"109,02";"99,83";"107,81";"97,21";"99,62";"92,75";"96,97";"90,51";"97,22";"84,77";"86,05";"91,68";"88,17";"83,76";"98,92"
"21 Maranhão";"96,45";"96,78";"99,51";"108,34";"112,95";"114,26";"118,59";"108,01";"112,14";"106,62";"102,93";"97,54";"105,73";"93,42";"100,02";"69,43";"74,26";"80,61";"75,73";"60,09";"97,29"
"22 Piauí";"106,39";"106,35";"103,72";"106,00";"102,53";"107,62";"108,31";"100,04";"103,42";"97,02";"98,47";"93,91";"93,06";"81,86";"80,92";"70,69";"78,10";"83,71";"81,85";"71,42";"94,57"
"23 Ceará";"112,59";"103,92";"98,78";"115,84";"110,62";"109,21";"108,98";"105,37";"105,70";"101,03";"100,00";"97,79";"104,79";"103,92";"113,68";"107,89";"97,34";"111,08";"93,54";"86,84";"104,52"
"24 Rio Grande do Norte";"91,46";"94,42";"97,37";"98,65";"98,43";"102,95";"99,01";"92,36";"95,99";"96,67";"96,88";"93,98";"93,86";"95,63";"97,64";"70,25";"69,52";"90,32";"80,74";"69,57";"91,45"
"25 Paraíba";"103,87";"100,66";"98,24";"103,13";"104,78";"111,07";"110,40";"101,47";"110,05";"100,95";"101,97";"92,08";"108,24";"100,40";"96,12";"85,46";"82,34";"92,26";"92,60";"72,46";"98,64"
"26 Pernambuco";"104,61";"103,77";"113,81";"109,86";"109,70";"109,60";"110,94";"106,67";"108,60";"101,18";"109,60";"100,08";"101,06";"101,68";"109,29";"90,38";"84,67";"94,72";"85,64";"71,51";"101,62"
"27 Alagoas";"86,47";"98,48";"100,75";"104,98";"103,22";"103,88";"94,38";"90,87";"106,07";"100,47";"90,61";"90,22";"97,53";"93,32";"94,25";"80,07";"83,88";"96,13";"87,89";"72,03";"94,11"
"28 Sergipe";"101,53";"103,27";"107,79";"107,34";"97,17";"99,51";"108,68";"99,94";"105,73";"99,87";"103,40";"96,85";"99,41";"94,25";"93,69";"78,29";"79,00";"89,74";"80,86";"70,64";"96,12"
"29 Bahia";"108,30";"93,10";"92,07";"103,14";"109,82";"109,76";"105,46";"98,45";"102,30";"95,93";"97,32";"93,26";"96,40";"93,87";"95,42";"70,72";"78,34";"78,25";"74,83";"69,62";"93,86"
"31 Minas Gerais";"99,22";"91,01";"87,11";"103,49";"105,86";"105,99";"105,58";"99,56";"105,19";"100,41";"103,22";"98,61";"103,24";"96,51";"97,12";"88,29";"87,07";"97,75";"88,52";"85,83";"97,30"
"32 Espírito Santo";"109,82";"114,88";"119,51";"112,22";"112,11";"112,45";"108,97";"104,58";"107,32";"103,07";"108,26";"104,93";"100,22";"101,25";"99,39";"89,28";"83,22";"90,95";"86,68";"81,56";"102,33"
"33 Rio de Janeiro";"94,07";"111,61";"111,46";"108,27";"118,98";"103,95";"112,08";"108,31";"109,39";"106,87";"112,15";"96,87";"99,95";"100,89";"107,03";"89,93";"88,76";"87,48";"73,62";"54,83";"99,75"
"35 São Paulo";"103,34";"95,89";"98,31";"98,19";"96,74";"99,93";"98,67";"96,60";"99,10";"96,60";"100,30";"96,44";"98,95";"95,73";"99,68";"83,84";"87,71";"92,55";"86,62";"81,72";"95,32"
"41 Paraná";"105,76";"102,67";"103,38";"99,66";"99,65";"103,49";"102,69";"96,32";"100,36";"99,60";"102,50";"96,78";"104,65";"98,76";"97,39";"87,54";"90,41";"90,88";"89,69";"85,86";"97,88"
"42 Santa Catarina";"105,67";"99,10";"101,54";"100,27";"101,37";"101,03";"104,07";"96,82";"102,55";"98,82";"101,18";"99,97";"97,78";"97,17";"102,43";"92,12";"95,11";"94,59";"93,68";"88,22";"98,49"
"43 Rio Grande do Sul";"98,15";"93,52";"96,20";"95,04";"97,64";"99,10";"99,89";"93,33";"95,28";"92,34";"95,07";"89,40";"100,28";"95,42";"89,20";"84,46";"85,73";"85,70";"85,09";"84,09";"92,77"
"50 Mato Grosso do Sul";"111,29";"114,34";"107,08";"99,47";"100,48";"104,61";"104,83";"96,87";"106,10";"99,64";"95,54";"102,28";"118,01";"130,10";"120,36";"93,78";"91,49";"95,95";"94,41";"81,75";"103,24"
"51 Mato Grosso";"117,54";"111,61";"108,27";"109,45";"112,94";"109,60";"112,30";"104,55";"107,67";"100,40";"103,22";"99,50";"101,20";"102,47";"102,81";"90,64";"84,07";"90,27";"85,81";"80,80";"101,30"
"52 Goiás";"101,08";"99,28";"104,13";"111,97";"104,03";"110,61";"112,35";"104,30";"105,20";"100,56";"107,11";"101,00";"107,69";"97,65";"95,88";"82,10";"81,56";"85,54";"81,52";"77,74";"98,09"
"53 Distrito Federal";"97,51";"97,23";"96,96";"101,10";"96,60";"101,83";"100,31";"99,18";"101,97";"94,20";"86,48";"93,65";"112,17";"94,34";"74,92";"136,83";"84,41";"86,03";"84,32";"81,15";"96,07"
"Total";"102,83";"100,01";"100,48";"104,30";"105,12";"105,25";"105,43";"100,18";"103,66";"99,35";"101,33";"96,55";"100,71";"96,76";"98,29";"84,43";"84,74";"89,54";"84,19";"75,86";"97,02"
